Helpful, Recommend, Hours, Posted_Date, Text, User, Game_Number
1 人觉得这篇评测有价值,不推荐,1639.3,2016-9-4,无语了 新号才玩了77个小时 .今天登陆无缘无故的给 封了10天 我才16级啊，角色身上只有1W多的钱 哪里像作弊了 ，诅咒你们那些乱封号的渣渣 准备买正版GTA5的 谨慎了 他们乱封号的......,XHE22G,6
1 人觉得这篇评测有价值有 2 人觉得这篇评测很欢乐,不推荐,149.3,2016-8-30,说真的，看主播们玩这游戏看了1年多，前几天总于自己买了玩，看很多评论说被封了，我不信，觉得他们肯定是开挂了被封了活该，我老老实实玩了12小时升到17级，今天上线说我和云端不同步，我继续点开始游戏，你他妈给我封了？？？日你吗的R星,唔畀,11
有 2 人觉得这篇评测有价值有 1 人觉得这篇评测很欢乐,不推荐,64.7,2016-8-5,无缘无故封我30天我忍了，妈的，玩着玩着它封我永久，试问一个不用外挂，不用乱杀人，不开加速器的好玩家，为啥要封，所以各位联系别买来玩，坑爹,玉溪,4
尚未有人觉得这篇评测有价值,不推荐,43.5,2016-6-26,我操 游戏 玩不了有问题 一直进不去停止服务,F,16
尚未有人觉得这篇评测有价值,推荐,367.8,2016-9-2,很少见的大作 可以说是很完美 细节部分做到了极致 人物的对话 隐藏的发掘起来 R星给了发现的空间 不止是游戏 更是一份用心,SLine,68
尚未有人觉得这篇评测有价值,推荐,40.0,2016-8-20,很棒的游戏。,yuan_fang77,2
尚未有人觉得这篇评测有价值,推荐,693.9,2016-8-20,什么事情都没做就被ban了，回复我说使用MOD 毛线的MOD 根本没有用任何MOD凭什么BAN我？没脾气！,ZeboeXu,46
尚未有人觉得这篇评测有价值,推荐,567.7,2016-7-23,6666666,CodeTianjin123 ♥Anu,107
尚未有人觉得这篇评测有价值,推荐,117.8,2016-8-22,Hope gtaol can join the career system  so gtaol will become more perfect!,大雪人,180
尚未有人觉得这篇评测有价值,推荐,46.7,2016-9-12,很好玩，买了不后悔,Stone_key,114
1 人觉得这篇评测有价值有 1 人觉得这篇评测很欢乐,不推荐,240.4,2016-7-3,这个 筋斗景区不了,saland killer,12
1 人觉得这篇评测有价值有 1 人觉得这篇评测很欢乐,不推荐,46.7,2016-7-18,封封封封封！封的好！！！宁可错杀一千不放过一个！飞天遁地，全屏秒，用场景困住你，什么JB外挂都有。现在好了全部无差别封了，本来玩个游戏嘛，找点现实里体会不到的成就感也就算了，但是许多人要在游戏里再开上外挂才能找到成就感，可想而知这种人是多么的LOSER，哈哈哈哈。没开过的被封那是你运气不好，谁叫RS要整治呢哈哈哈哈。我这里呢，也打个差评，外挂问题和管理问题的锅RS还是要接的。,小方小方！！！！！,25
1 人觉得这篇评测有价值,推荐,1210.6,2015-11-24,What a perfect game !,SunnySOLA,83
